name,url
สมาร์ทโฟน Samsung Galaxy A06 (4+64GB) Black,https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/samsung-smartphone/samsung-smartphone-galaxy-a06-464gb-black-8806095714479_dmx4ee?#ins_sr=eyJwcm9kdWN0SWQiOiI4ODA2MDk1NzE0NDc5In0=
สมาร์ทโฟน Samsung Galaxy A16 (4+128GB) Light Green (5G),https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/samsung-smartphone/samsung-smartphone-galaxy-a16-4128-light-green-5g-8806095788852_zomj27?#ins_sr=eyJwcm9kdWN0SWQiOiI4ODA2MDk1Nzg4ODUyIn0=
สมาร์ทโฟน Samsung Galaxy A06 (4+64GB) Light Green,https://www.bnn.in.th/th/p/samsung-smartphone-galaxy-a06-464gb-light-green-8806095761145_dk0kvj?#ins_sr=eyJwcm9kdWN0SWQiOiI4ODA2MDk1NzYxMTQ1In0=
สมาร์ทโฟน Samsung Galaxy A06 (6+128 GB) Light Green (5G),https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/samsung-smartphone/samsung-smartphone-galaxy-a06-6128-gb-light-green-5g-8806097117377_dxyj5y?#ins_sr=eyJwcm9kdWN0SWQiOiI4ODA2MDk3MTE3Mzc3In0=
สมาร์ทโฟน Samsung Galaxy A06 (6+128 GB) Black (5G),https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/samsung-smartphone/samsung-smartphone-galaxy-a06-6128-gb-black-5g-8806097118145_zomq87?#ins_sr=eyJwcm9kdWN0SWQiOiI4ODA2MDk3MTE4MTQ1In0=
สมาร์ทโฟน OPPO A5x (4+128GB) Laser White,https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/oppo-smartphone/oppo-smartphone-a5x-4128-laser-white-5105250025wh_rqev17?#ins_sr=eyJwcm9kdWN0SWQiOiI1MTA1MjUwMDI1V0gifQ==
สมาร์ทโฟน Samsung Galaxy A16 (4+128GB) Black (5G),https://www.bnn.in.th/th/p/samsung-smartphone-galaxy-a16-4128-black-5g-8806095788685_d1pw3l?#ins_sr=eyJwcm9kdWN0SWQiOiI4ODA2MDk1Nzg4Njg1In0=
สมาร์ทโฟน vivo Y04 (4+64GB) Titanium Gold,https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/vivo-smartphone/vivo-smartphone-y04-464gb-titanium-gold-6935117898148_zgkpjv?#ins_sr=eyJwcm9kdWN0SWQiOiI2OTM1MTE3ODk4MTQ4In0=
สมาร์ทโฟน Xiaomi Redmi A5 (3+64GB) Ocean Blue,https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/xiaomi-smartphone/xiaomi-smartphone-redmi-a5-364-ocean-blue-6932554425821_r67g3m?#ins_sr=eyJwcm9kdWN0SWQiOiI2OTMyNTU0NDI1ODIxIn0=
สมาร์ทโฟน Realme C71 (4+128GB) White Swan,https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/realme-smartphone/realme-smartphone-c71-4128-white-swan-6941764464926_d52lvn?#ins_sr=eyJwcm9kdWN0SWQiOiI2OTQxNzY0NDY0OTI2In0=
สมาร์ทโฟน Xiaomi Redmi 14C (6+128GB) Midnight Black,https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/xiaomi-smartphone/xiaomi-smartphone-redmi-14c-6128-midnight-black-6941812798102_zem266?#ins_sr=eyJwcm9kdWN0SWQiOiI2OTQxODEyNzk4MTAyIn0=
สมาร์ทโฟน ZTE Nubia Neo 3 (8+128GB) Shadow Black,https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/zte/zte-smartphone-nubia-neo-3-8128gb-shadow-black-6902176152139_r013on?#ins_sr=eyJwcm9kdWN0SWQiOiI2OTAyMTc2MTUyMTM5In0=
สมาร์ทโฟน Realme Note 60x (4+64GB) Marble Black,https://www.bnn.in.th/th/p/smartphone-and-accessories/smartphone/realme-smartphone/realme-smartphone-note-60x-464-marble-black-6941764448759_r67yn4?#ins_sr=eyJwcm9kdWN0SWQiOiI2OTQxNzY0NDQ4NzU5In0=
